"applicants_mcc_licence_no","applicant_name","mcc_medicine_reg_no","nappi_code","atc_4","medicine_schedule","medicine_proprietary_name","active_ingredients","strength","unit","dosage_form","pack_size","quantity","manufacturer_price","logistics_fee","vat","sep","unit_price","effective_date","status","originator_or_generic","_12_months_volume_of_sales"
"0000001154","3M South Africa (Pty) Ltd","U/4/104","703312001","N01BA","S4","Xylestesin-A","Lidocaine hydrochloride","20","mg/ml","INJ","50","1","189.10","31.00","33.02","253.12","5.06","01 April 2018",,"Originator",
,,,,,,,"Adrenaline","0.012","mg/ml",,,,,,,,,,,,
"0000001154","3M South Africa (Pty) Ltd","A38/4/0430","710488001","N01BB","S4","Ubistesin","Articaine hydrochloride","40","mg/ml","INJ","50","1","229.91","37.70","40.14","307.76","6.16","01 April 2018",,"Originator",
,,,,,,,"Adrenaline","0.01","mg/ml",,,,,,,,,,,,
"0000001154","3M South Africa (Pty) Ltd","A38/4/0431","710497001","N01BB","S4","Ubistesin Forte","Articaine hydrochloride","40","mg/ml","INJ","50","1","229.91","37.70","40.14","307.76","6.16","01 April 2018",,"Originator",
,,,,,,,"Adrenaline","0.01","mg/ml",,,,,,,,,,,,
"0000000125","Abbott Laboratories SA Pty Ltd","35/7.1/0372","701855001","C09CA","S3","Teveten 600  ","Eprosartan","600","mg","TAB","28","1","221.95","22.03","36.60","280.57","10.02",,,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","36/21.8.2/0330","703107001","G03FA","S4","Femoston-Conti  ","Dydrogesterone","50","mg","TAB","28","1","179.10","19.55","29.80","228.44","8.16","01 April 2018",,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","36/21.8.2/0329","703108001","G03FA","S4","Femoston 1/10","Dydrogesterone","10","mg","TAB","28","1","179.12","19.53","29.80","228.44","8.16",,,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","X/20.1.1/229","704032001","J01FA","S4","Clacee 250mg","Clarithromycin","250","mg","TAB","10","1","74.80","13.20","13.20","101.20","10.12","01 April 2018",,"Generic",
"0000000125","Abbott Laboratories SA Pty Ltd","29/20.1.1/0163","704033001","J01FA","S4","Clacee 500mg","Clarithromycin","500","mg","TAB","10","1","79.13","13.96","13.96","107.05","10.71","01 April 2018",,"Generic",
"0000000125","Abbott Laboratories SA Pty Ltd","29/20.1.1/0163","704033002","J01FA","S4","Clacee 500mg","Clarithromycin","500","mg","TAB","14","1","110.78","19.55","19.55","149.87","10.71",,,"Generic",
"0000000125","Abbott Laboratories SA Pty Ltd","30/7.5/0494","705708001","C10AB","S3","Lipanthyl 200mg","Fenofibrate","200","mg","CAP","30","1","275.17","28.48","45.55","349.21","11.64","01 April 2018",,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","33/1.2/0354","706443001","N06AB","S5","Faverin 100","Fluvoxamine","100","mg","TAB","30","1","245.97","24.30","40.54","310.81","10.36",,,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","38/5.6/0040","707452002","N07CA","S3","Serc 24","Betahistine","24","mg","TAB","20","1","225.64","24.38","37.50","287.52","14.38","01 April 2018",,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","A38/7.1/0728","708096001","C09CA","S3","Teveten Plus ","Eprosartan","600","mg","TAB","28","1","227.82","21.38","37.38","286.58","10.23","01 April 2018",,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","A39/7.1.3/0531","708279001","C09AA","S3","Mavik (was Gopten) ","Trandolapril","4","mg","CAP","30","1","148.68","17.45","24.92","191.05","6.37",,,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","33/11.3/0027","710256001","A08AA","S5","Ectiva 10mg","Sibutramine hydrochloride","10","mg","CAP","30","1","177.37","31.30","31.30","239.97","8.00","01 April 2018",,"Generic",
"0000000125","Abbott Laboratories SA Pty Ltd","33/11.3/0028","710257001","A08AA","S5","Ectiva 15mg","Sibutramine hydrochloride","15","mg","CAP","30","1","206.93","36.52","36.52","279.96","9.33",,,"Generic",
"0000000125","Abbott Laboratories SA Pty Ltd","34/3.3/0178","710392001","R05CA","S2","Mucolator","Acetylcysteine","200","mg","SAC","30","1","44.57","6.80","7.71","59.08","1.97","01 April 2018",,"Generic",
"0000000125","Abbott Laboratories SA Pty Ltd","A/3.1/727","710822112","M01AE","S1","Brufen 200 ","Ibuprofen","200","mg","TAB","10","1","13.42","1.83","2.29","17.53","1.75","01 April 2018",,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","A/3.1/727","710822113","M01AE","S1","Brufen 200 ","Ibuprofen","200","mg","TAB","20","1","26.84","3.65","4.57","35.06","1.75",,,"Originator",
"0000000125","Abbott Laboratories SA Pty Ltd","H/3.1/39","710830131","M01AE","S1","Brufen 400 Extra Strength","Ibuprofen","400","mg","TAB","10","1","21.91","2.98","3.73","28.62","2.86","01 April 2018",,"Originator",
